#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_001637325.1	Cochleicola gelatinilyticus
GCF_001637395.1	Leptolyngbya valderiana BDU 20041
GCF_001639065.2	Vibrio barjaei
GCF_001639105.2	Azospirillum humicireducens
GCF_001639265.1	Methanobrevibacter filiformis
GCF_001639285.1	Methanobrevibacter cuticularis
GCF_001639295.1	Methanobrevibacter curvatus
GCF_001639725.1	Marinomonas atlantica
GCF_001640115.1	Polaribacter atrinae
GCF_001640365.1	Candidatus Arsenophonus triatominarum
GCF_001641085.1	Aequorivita soesokkakensis
GCF_001641285.1	Dyella thiooxydans
GCF_001641615.1	Pseudoalteromonas gelatinilytica
GCF_001641635.1	Bradyrhizobium centrolobii
GCF_001641695.1	Bradyrhizobium neotropicale
GCF_001641755.2	Microbulbifer flavimaris
GCF_001642085.1	Streptococcus pantholopis
GCF_001642325.1	Thermodesulfatator autotrophicus
GCF_001642575.1	Xanthomonas floridensis
GCF_001642635.1	Acetobacter malorum
GCF_001642695.1	Streptomyces chilikensis
GCF_001642805.2	Serratia surfactantfaciens
GCF_001642835.1	Tamlana agarivorans
GCF_001642935.1	Fictibacillus arsenicus
GCF_001642995.1	Streptomyces jeddahensis
GCF_001643015.1	Corynebacterium crudilactis
GCF_001643235.1	Domibacillus aminovorans
GCF_001643775.1	Denitrobacterium detoxificans
GCF_001643995.1	Campylobacter iguaniorum
GCF_001644015.1	Methylomonas lenta
GCF_001644195.2	Bacillus marinisedimentorum
GCF_001644565.1	Deinococcus puniceus
GCF_001644605.1	Paenibacillus swuensis
GCF_001644645.1	Flavisolibacter tropicus
GCF_001645125.1	Paraburkholderia ginsengiterrae
GCF_001645685.2	Peribacillus muralis
GCF_001645705.1	Bacillus galactosidilyticus
GCF_001645765.1	Candidatus Mycoplasma haemobos
GCF_001645855.1	Bovine faeces associated circular DNA virus 1
GCF_001645875.1	Sheep faeces associated smacovirus 3
GCF_001645895.1	Bovine faeces associated smacovirus 5
GCF_001645915.1	Bovine faeces associated smacovirus 1
GCF_001645935.1	Faeces associated gemycircularvirus 19
GCF_001645955.1	Faeces associated gemycircularvirus 15
GCF_001645975.1	Marbled eel polyomavirus
GCF_001645995.1	Porcine faeces associated circular DNA molecule-1
GCF_001646015.1	Duck faeces associated circular DNA virus 1
GCF_001646035.1	Anopheles C virus
GCF_001646055.1	Sewage associated gemycircularvirus 3
GCF_001646075.1	Bovine faeces associated smacovirus 6
GCF_001646095.1	Bovine faeces associated smacovirus 2
GCF_001646115.1	Faeces associated gemycircularvirus 20
GCF_001646135.1	Faeces associated gemycircularvirus 16
GCF_001646155.1	Canid alphaherpesvirus 1
GCF_001646175.1	Porcine stool-associated circular virus
GCF_001646195.1	Duck faeces associated circular DNA virus 2
GCF_001646215.1	Bovine faeces associated circular DNA virus 2
GCF_001646235.1	Sclerotinia sclerotiorum mycoreovirus 4
GCF_001646255.1	Porcine associated porprismacovirus 10
GCF_001646275.1	Sheep faeces associated smacovirus 1
GCF_001646295.1	Bovine faeces associated smacovirus 3
GCF_001646315.1	Faeces associated gemycircularvirus 21
GCF_001646335.1	Faeces associated gemycircularvirus 17
GCF_001646355.1	Tobacco mosqueado virus
GCF_001646375.1	Penguin siadenovirus A
GCF_001646395.1	Duck faeces associated circular DNA virus 3
GCF_001646415.1	Chamois faeces associated circular DNA virus 1
GCF_001646435.1	Bovine faeces associated circular DNA molecule 1
GCF_001646455.1	Sheep faeces associated smacovirus 2
GCF_001646475.1	Bovine faeces associated smacovirus 4
GCF_001646495.1	Faeces associated gemycircularvirus 22
GCF_001646515.1	Faeces associated gemycircularvirus 18
GCF_001646535.1	Faeces associated gemycircularvirus 14
GCF_001646555.1	Cervus papillomavirus 2
GCF_001646575.1	Llama faeces associated circular DNA virus-1
GCF_001646595.1	Deer faeces associated circular DNA virus 1
GCF_001646785.1	Rhodococcus phenolicus
GCF_001646865.1	Aldersonia kunmingensis
GCF_001646945.1	Endozoicomonas ascidiicola
GCF_001647025.1	Endozoicomonas atrinae
GCF_001647085.1	Thermococcus piezophilus
GCF_001647275.1	Rufibacter ruber
GCF_001647285.1	Rufibacter roseus
GCF_001647715.1	Pseudomonas antarctica
GCF_001648155.1	Chryseobacterium glaciei
GCF_001648175.1	Halotalea alkalilenta
GCF_001648355.1	Eikenella longinqua
GCF_001648475.1	Eikenella halliae
GCF_001650025.1	Devosia elaeis
GCF_001650235.3	Acidithiobacillus caldus
GCF_001650635.1	Magnetospirillum moscoviense
GCF_001650695.1	Chloroflexus islandicus
GCF_001650715.1	Magnetospirillum marisnigri
GCF_001651085.1	Fusarium poae dsRNA virus 2
GCF_001651105.1	Sclerotinia sclerotiorum umbra-like virus 1
GCF_001651125.1	Avian-like circovirus
GCF_001651145.1	Water chestnut soymovirus 1
GCF_001651165.1	Lonestar tick chuvirus 1
GCF_001651185.1	Macaca nemestrina herpesvirus 7
GCF_001651205.1	Fusarium poae dsRNA virus 3
GCF_001651805.1	Marinobacterium aestuarii
GCF_001651865.1	Ensifer glycinis
GCF_001652275.1	Peptidiphaga gingivicola
GCF_001652465.1	Microbacterium chocolatum
GCF_001652545.1	Mycobacterium mungi
GCF_001652585.1	Thermosulfurimonas dismutans
GCF_001652725.1	Pedobacter psychrophilus
GCF_001653075.1	Planomonospora sphaerica
GCF_001653335.1	Nocardioides dokdonensis FR1436
GCF_001653565.1	Paenibacillus oryzisoli
GCF_001653715.1	Methylobacterium platani
GCF_001653755.1	Dokdonia donghaensis DSW-1
GCF_001653955.1	Francisella persica ATCC VR-331
GCF_001654085.1	Nigrospora oryzae victorivirus 1
GCF_001654105.1	Antarctic picorna-like virus 4
GCF_001654125.1	Pepo aphid-borne yellows virus
GCF_001654145.1	Sinapis alba cryptic virus 1
GCF_001654185.1	Antarctic picorna-like virus 3
GCF_001654205.1	Catopsilia pomona nucleopolyhedrovirus
GCF_001654225.1	Parthenium leaf curl alphasatellite
GCF_001654245.1	Tropical soda apple mosaic virus
GCF_001654265.1	Victorian trout aquabirnavirus
GCF_001654285.1	Antarctic picorna-like virus 1
GCF_001654305.1	Tokyovirus A1
GCF_001654325.1	Wuhan centipede virus
GCF_001654345.1	Impatiens flower break virus
GCF_001654365.1	Euphorbia caput-medusae latent virus
GCF_001654385.1	Antarctic picorna-like virus 2
GCF_001654405.1	Avian paramyxovirus goose/Shimane/67/2000
GCF_001654425.1	Xinzhou spider virus 3
GCF_001654435.1	Pseudomonas citronellolis
GCF_001654455.1	Niabella ginsenosidivorans
GCF_001654835.1	Buttiauxella gaviniae ATCC 51604
GCF_001654855.1	Cosenzaea myxofaciens ATCC 19692
GCF_001654865.1	Buttiauxella noackiae ATCC 51607
GCF_001654915.1	Buttiauxella ferragutiae ATCC 51602
GCF_001654925.1	Buttiauxella brennerae ATCC 51605
GCF_001655245.1	Mycolicibacterium vaccae 95051
GCF_001655675.1	Mangrovibacter phragmitis
GCF_001655685.1	Desulfotomaculum copahuensis
GCF_001655775.1	Candidatus Arthromitus sp. SFB-turkey
GCF_001656035.1	Yersinia entomophaga
GCF_001657475.1	Enteractinococcus helveticum
GCF_001658025.1	Kosakonia oryzae
GCF_001659685.2	Labilibacter marinus
GCF_001659725.1	Polynucleobacter wuianus
GCF_001659785.1	Dietzia timorensis
GCF_001660005.1	Borrelia hermsii HS1
GCF_001660045.1	Streptomyces parvulus
GCF_001660385.1	Thermobifida halotolerans
GCF_001660485.1	Agromyces aureus
GCF_001660705.2	Saccharicrinis aurantiacus
GCF_001661075.1	Pseudomonas silesiensis
GCF_001661595.2	Crocinitomix algicola
GCF_001661675.2	Croceicoccus marinus
GCF_001661715.1	Golden shiner totivirus
GCF_001661735.1	Negev virus
GCF_001661755.1	Edge Hill virus
GCF_001661775.1	Ferret coronavirus
GCF_001661795.1	Diaphorina citri densovirus
GCF_001661815.1	Torque teno mini virus 18
GCF_001661835.1	Culiseta flavivirus
GCF_001661855.1	Pegivirus B
GCF_001661875.1	Pecan mosaic-associated virus
GCF_001661915.1	Croceicoccus pelagius
GCF_001662055.1	Rhizobium bangladeshense
GCF_001662105.1	Rhizobium aegyptiacum
GCF_001662245.1	Pseudoalteromonas mariniglutinosa
GCF_001663155.1	Altererythrobacter ishigakiensis
GCF_001663175.1	Erythrobacter neustonensis
GCF_001663655.1	Lactobacillus backii
GCF_001669805.1	Chayote yellow mosaic Benin betasatellite
GCF_001669825.1	Cotton yellow mosaic virus
GCF_001669845.1	Phytomonas serpens narnavirus 1
GCF_001672295.1	Halodesulfovibrio spirochaetisodalis
GCF_001675045.1	Paenibacillus oryzae
GCF_001675165.1	Clostridium ragsdalei P11
GCF_001675205.1	Clostridium coskatii
GCF_001675505.1	Tospovirus kiwifruit/YXW/2014
GCF_001675695.1	Wolbachia endosymbiont of Nomada flava
GCF_001675715.1	Wolbachia endosymbiont of Nomada leucophthalma
GCF_001675775.1	Wolbachia endosymbiont of Nomada panzeri
GCF_001675785.1	Wolbachia endosymbiont of Nomada ferruginata
GCF_001676655.1	Perlucidibaca aquatica
GCF_001676705.1	Bordetella bronchialis
GCF_001676725.1	Bordetella flabilis
GCF_001677135.1	Mycobacteroides immunogenum
GCF_001677435.1	Woeseia oceani
GCF_001677885.1	Janthinobacterium psychrotolerans
GCF_001678195.1	Hanko virus
GCF_001678215.2	Maize-associated totivirus 2
GCF_001678235.1	Wild onion symptomless virus
GCF_001678255.2	Short-finned eel ranavirus
GCF_001678275.1	Cronartium ribicola mitovirus 2
GCF_001678295.1	Ungulate bocaparvovirus 6
GCF_001678315.1	Cronartium ribicola mitovirus 4
GCF_001678335.4	Telfairia golden mosaic virus
GCF_001678355.1	Cronartium ribicola mitovirus 3
GCF_001678375.1	Nakiwogo virus
GCF_001678395.1	Cronartium ribicola mitovirus 5
GCF_001678415.1	Sclerotinia nivalis victorivirus 1
GCF_001678435.1	Cronartium ribicola mitovirus 1
GCF_001678455.2	Etheostoma fonticola aquareovirus
GCF_001678475.1	Gallibacterium genomosp. 3
GCF_001678495.1	Gallibacterium salpingitidis
GCF_001678575.1	Gallibacterium genomosp. 1
GCF_001678815.1	unidentified circular ssDNA virus
GCF_001678835.1	Bluegill hepatitis B virus
GCF_001678905.1	Dermabacter vaginalis
GCF_001679725.1	Cryobacterium arcticum
GCF_001679855.1	Gemycircularvirus HV-GcV1
GCF_001679875.1	Gemycircularvirus HV-GcV2
GCF_001679895.1	Tibetan frog hepatitis B virus
GCF_001680045.1	Vibrio natriegens
GCF_001682385.1	Azoarcus olearius
GCF_001682915.1	Kluyvera georgiana
GCF_001683055.1	[Brevibacterium] flavum ZL-1
GCF_001683355.1	Prevotella scopos JCM 17725
GCF_001684335.1	Photorhabdus namnaonensis
GCF_001684485.1	Chimpanzee faeces associated circular DNA molecule 1
GCF_001684505.1	Canna yellow mottle associated virus
GCF_001684525.1	Circovirus-like genome DHCV-2
GCF_001684545.1	Circovirus-like genome DCCV-7
GCF_001684565.1	Circovirus-like genome DCCV-3
GCF_001684585.1	Circovirus-like genome DCCV-11
GCF_001684605.1	Diachasmimorpha longicaudata rhabdovirus
GCF_001684625.1	enterovirus A114
GCF_001684645.1	Circovirus-like genome DHCV-3
GCF_001684665.1	Circovirus-like genome DCCV-8
GCF_001684685.1	Circovirus-like genome DCCV-4
GCF_001684705.1	Circovirus-like genome DCCV-12
GCF_001684725.1	Chimpanzee faeces associated circular DNA virus 1
GCF_001684745.1	Circovirus-like genome DHCV-6
GCF_001684765.1	Circovirus-like genome DHCV-1
GCF_001684785.1	Circovirus-like genome DCCV-6
GCF_001684805.1	Circovirus-like genome DCCV-2
GCF_001684825.1	Circovirus-like genome DCCV-10
GCF_001684845.1	Chimpanzee faeces associated microphage 2
GCF_001684865.1	Circovirus-like genome DHCV-5
GCF_001684885.1	Circovirus-like genome DCCV-9
GCF_001684905.1	Circovirus-like genome DCCV-5
GCF_001684925.1	Circovirus-like genome DCCV-13
GCF_001684945.1	Circovirus-like genome DCCV-1
GCF_001684975.1	Chryseobacterium artocarpi
GCF_001685015.1	Bacillus wudalianchiensis
GCF_001685265.1	Pelargonium leaf curl virus
GCF_001685285.1	Chimpanzee faeces associated microphage 3
GCF_001685305.1	Pseudogymnoascus destructans partitivirus-pa
GCF_001685325.1	Chimpanzee faeces associated microphage 1
GCF_001685345.1	Diaphorina citri flavi-like virus
GCF_001685395.1	Paenibacillus yonginensis
GCF_001685415.1	Serinicoccus hydrothermalis
GCF_001685435.2	Salimicrobium jeotgali
GCF_001685485.1	Formosa haliotis
GCF_001685605.1	Rhodococcus opacus
GCF_001686985.1	Mesorhizobium amorphae CCNWGS0123
GCF_001687305.1	Actinomyces vulturis
GCF_001687335.1	Dissulfuribacter thermophilus
GCF_001687365.1	Pararhizobium polonicum
GCF_001687545.1	Paraurantiacibacter namhicola
GCF_001687565.2	Planococcus antarcticus DSM 14505
GCF_001687585.2	Planococcus halocryophilus
GCF_001687605.2	Planococcus plakortidis
GCF_001687625.2	Planococcus maritimus
GCF_001687665.2	Planococcus donghaensis
GCF_001687805.1	Vibrio scophthalmi
GCF_001688625.2	Flavonifractor plautii
GCF_001688725.2	Bacteroides caecimuris
GCF_001688845.2	Muribaculum intestinale
GCF_001689815.1	Staphylococcus virus 80
GCF_001689835.1	Nylanderia fulva virus 1
GCF_001689855.1	Gorilla anellovirus
GCF_001691555.1	Pantoea eucrina
GCF_001692445.1	Oerskovia enterophila
GCF_001693385.1	Bradyrhizobium icense
GCF_001693415.1	Tenacibaculum soleae
GCF_001693515.2	Bradyrhizobium paxllaeri
GCF_001693545.1	Yacon virus A
GCF_001695425.1	Pigeonpea sterility mosaic emaravirus 2
GCF_001695445.1	Rhizoctonia solani flexivirus 1
GCF_001695465.1	Pteropox virus
GCF_001695485.1	Atypical porcine pestivirus 1
GCF_001695505.1	Fusarium graminearum deltaflexivirus 1
GCF_001696485.1	Planobispora rosea
GCF_001696715.1	Thauera phenolivorans
GCF_001696805.1	Photorhabdus australis
GCF_001697185.1	Wenyingzhuangia fucanilytica
GCF_001697225.1	Immundisolibacter cernigliae
GCF_001698185.1	Bordetella pseudohinzii
GCF_001698205.1	Tsuneonella dongtanensis
GCF_001698255.1	Grapevine Red Globe virus
GCF_001698275.1	Gordonia phage Soups
GCF_001698295.1	Variegated squirrel bornavirus 1
GCF_001698335.1	Gordonia phage Smoothie
GCF_001698355.1	Picornavirales Bu-3
GCF_001698375.1	Gordonia phage Rosalind
GCF_001698395.1	Ramie mosaic Yunnan virus
GCF_001698415.1	Gordonia phage KatherineG
GCF_001700315.1	Caryophanon tenue
GCF_001700325.1	Caryophanon latum
GCF_001700435.1	Paenibacillus pectinilyticus
GCF_001700505.1	Streptomyces mutomycini
GCF_001700515.1	Streptomyces lushanensis
GCF_001700965.1	Stenotrophomonas nitritireducens
GCF_001700985.1	Parageobacillus thermoglucosidasius
GCF_001701025.1	Lentzea guizhouensis
GCF_001701045.1	Cloacibacillus porcorum
GCF_001702075.1	Haemophilus quentini
GCF_001702155.1	Lactobacillus paracollinoides
GCF_001703635.1	Hoeflea olei
GCF_001704115.1	Acinetobacter larvae
GCF_001704175.2	Leptospira inadai serovar Lyme
GCF_001704195.1	Streptomyces sampsonii
GCF_001704275.1	Streptomyces noursei ATCC 11455
GCF_001704615.3	Acinetobacter defluvii
GCF_001705425.1	Mesorhizobium hungaricum
GCF_001706865.1	Picornavirales Bu-1
GCF_001706885.1	Malvastrum yellow vein Honghe virus
GCF_001706905.1	Wuhan Insect virus 2
GCF_001706925.1	Picornavirales Tottori-HG1
GCF_001706945.1	Senna leaf curl virus
GCF_001706965.1	Gompholobium virus A
GCF_001706985.1	Alternaria arborescens mitovirus 1
GCF_001707005.1	Brejeira virus
GCF_001707025.1	Senna mosaic virus
GCF_001707755.1	Acinetobacter celticus
GCF_001707825.1	Enterovibrio pacificus
GCF_001707835.1	Planctopirus hydrillae
GCF_001708125.1	Jiangella alba
GCF_001708305.1	Streptococcus himalayensis
GCF_001708405.1	Kangiella sediminilitoris
GCF_001708935.1	Methyloligella halotolerans
GCF_001708955.1	Candidatus Thiodiazotropha endoloripes
GCF_001709345.1	Terasakiispira papahanaumokuakeensis
GCF_001712785.1	Hepatitis C virus genotype 7
GCF_001712875.1	Maize bushy stunt phytoplasma
GCF_001714355.1	Bovine calicivirus strain Kirklareli
GCF_001714375.1	Bos taurus papillomavirus 19
GCF_001714395.1	Bos taurus papillomavirus 13
GCF_001714415.1	Bos taurus papillomavirus 21
GCF_001714435.1	Bos taurus papillomavirus 17
GCF_001714455.1	Equine adenovirus 1
GCF_001714475.1	Bos taurus papillomavirus 18
GCF_001714495.1	Callistephus mottle virus
GCF_001714515.1	Bos taurus papillomavirus 20
GCF_001714535.1	Bos taurus papillomavirus 16
GCF_001715195.1	Rhodohalobacter halophilus
GCF_001715535.1	Spiroplasma helicoides
GCF_001715975.1	Candidatus Thiodiazotropha endolucinida
GCF_001717195.1	Sparus aurata polyomavirus 1
GCF_001717215.1	Sparus aurata papillomavirus 1
GCF_001717235.1	Egaro virus
GCF_001717255.1	Wabat virus
GCF_001717275.1	Barbacena virus Y
GCF_001717315.1	Washington bat picornavirus
GCF_001717335.1	Coccinia mottle virus
GCF_001717355.1	Haloarcula californiae icosahedral virus 1
GCF_001717375.1	Bat tymo-like virus
GCF_001717395.1	Sea otter parvovirus 1
GCF_001717415.1	Ranavirus maximus
GCF_001717435.1	Duwamo virus
GCF_001717505.1	Dialister pneumosintes
GCF_001717955.1	Sphingomonas panacis
GCF_001718335.1	Burkholderia territorii
GCF_001718415.1	Burkholderia pseudomultivorans
GCF_001719065.1	Fervidobacterium thailandense
GCF_001719185.1	Bacillus gibsonii
GCF_001719615.1	Neptunicoccus sediminis
GCF_001720135.1	Methylobrevis pamukkalensis
GCF_001720165.1	Methylophaga muralis
GCF_001720395.1	Piscirickettsia litoralis
GCF_001720485.1	Cobetia marina
GCF_001721045.1	Paenibacillus nuruki
GCF_001721185.1	Xenorhabdus hominickii
GCF_001721295.1	Sphingomonas turrisvirgatae
GCF_001721645.1	Pedobacter steynii
GCF_001721685.1	Bacillus beveridgei
GCF_001722325.1	Mycobacterium sherrisii
GCF_001722335.1	Mycolicibacterium flavescens
GCF_001722345.1	Mycobacterium intermedium
GCF_001722355.1	Mycolicibacterium holsaticum
GCF_001722515.1	Dietzia alimentaria
GCF_001722685.1	Fusarium poae mitovirus 4
GCF_001722705.1	Bat mastadenovirus WIV13
GCF_001722725.1	Fusarium poae negative-stranded virus 1
GCF_001722745.1	Fusarium poae fusarivirus 1
GCF_001722765.1	Fusarium poae narnavirus 2
GCF_001722785.1	Fusarium poae mitovirus 2
GCF_001722805.1	Sophora japonica powdery mildew-associated partitivirus
GCF_001722825.1	Fusarium poae mycovirus 1
GCF_001722845.1	Fusarium poae virus 1-240374
GCF_001722865.1	Fusarium poae mitovirus 3
GCF_001722885.1	Mink bocavirus 1
GCF_001722905.1	Fusarium poae mycovirus 2
GCF_001722925.1	Fusarium poae victorivirus 1
GCF_001722945.1	Fusarium poae narnavirus 1
GCF_001722965.1	Bat mastadenovirus WIV12
GCF_001722985.1	Fusarium poae mitovirus 1
GCF_001723005.1	Fusarium poae negative-stranded virus 2
GCF_001723025.1	Fusarium poae alternavirus 1
GCF_001723045.1	Fusarium poae partitivirus 2
GCF_001723285.1	Methyloceanibacter methanicus
GCF_001723295.1	Methyloceanibacter marginalis
GCF_001723305.1	Methyloceanibacter superfactus
GCF_001723355.1	Methyloceanibacter stevinii
GCF_001723605.1	Sulfurospirillum halorespirans DSM 13726
GCF_001723665.1	Candidatus Marithrix sp. Canyon 246
GCF_001725835.1	Rousettus bat coronavirus
GCF_001725855.1	Common bean-associated gemycircularvirus
GCF_001725875.1	Arabidopsis halleri partitivirus 1
GCF_001725895.1	Sulfolobus islandicus rudivirus 3
GCF_001725935.1	Sclerotium hydrophilum virus 1
GCF_001729245.1	Leptospira tipperaryensis
GCF_001729525.1	Brevibacterium aurantiacum
GCF_001730225.1	Desulfuribacillus alkaliarsenatis
GCF_001730235.1	Vulcanibacillus modesticaldus
GCF_001730285.1	Enterococcus ureasiticus
GCF_001730525.1	Arcticibacter eurypsychrophilus
GCF_001730685.1	Caloranaerobacter ferrireducens
GCF_001735525.1	Shewanella colwelliana
GCF_001735765.2	Clostridium taeniosporum
GCF_001735805.1	Streptomyces fodineus
GCF_001736255.1	Salmonella phage 118970_sal4
GCF_001736275.1	Rosellinia necatrix endornavirus 1
GCF_001736295.1	Gordonia phage OneUp
GCF_001736315.1	Gordonia phage Demosthenes
GCF_001736335.1	Gordonia phage Bowser
GCF_001736355.1	Pseudomonas phage vB_PsyM_KIL1
GCF_001736375.1	Pseudomonas phage JBD69
GCF_001736395.1	Streptococcus phage phiARI0923
GCF_001736415.1	Gordonia phage GMA4
GCF_001736435.1	Bacillus phage BalMu-1
GCF_001736455.1	Gordonia phage Vendetta
GCF_001736475.1	Jasmine virus C
GCF_001736495.1	Pseudomonas phage phi3
GCF_001736515.1	Gordonia phage Orchid
GCF_001736535.1	Gordonia phage Kvothe
GCF_001736555.1	Gordonia phage BritBrat
GCF_001736575.1	Pseudomonas phage K5
GCF_001736595.1	Pseudomonas phage JBD93
GCF_001736615.1	Bacillus phage vB_BhaS-171
GCF_001736635.1	Gordonia phage GMA5
GCF_001736655.1	Gordonia phage Gsput1
GCF_001736675.1	Gordonia phage Wizard
GCF_001736695.1	Mamastrovirus 1
GCF_001736715.1	Ralstonia phage RSP15
GCF_001736735.1	Gordonia phage Splinter
GCF_001736755.1	Gordonia phage McGonagall
GCF_001736775.1	Gordonia phage ClubL
GCF_001736795.1	Gordonia phage Bachita
GCF_001736815.1	Pseudomonas phage YMC11/06/C171_PPU_BP
GCF_001736835.1	Bacillus phage Eldridge
GCF_001736855.1	Gordonia phage GRU3
GCF_001736875.1	Gordonia phage GMA6
GCF_001736895.1	Gordonia phage Woes
GCF_001736915.1	Pseudomonas phage phi2
GCF_001736935.1	Bacillus phage Shbh1
GCF_001736955.1	Bacillus phage SPG24
GCF_001736975.1	Gordonia phage Monty
GCF_001736995.1	Gordonia phage Cozz
GCF_001737015.1	Gordonia phage Blueberry
GCF_001737035.1	Pseudomonas phage YMC11/07/P54_PAE_BP
GCF_001737055.1	Pseudomonas phage JBD44
GCF_001737075.1	Tsukamurella phage TPA4
GCF_001737095.1	Gordonia phage GMA1
GCF_001737115.1	Staphylococcus phage Stau2
GCF_001737135.1	Gordonia phage Utz
GCF_001741865.1	Bosea vaviloviae
GCF_001742185.1	Pectobacterium wasabiae CFBP 3304
GCF_001742225.1	Novosphingobium resinovorum
GCF_001742285.1	Enterococcus rivorum
GCF_001742305.1	Desulfuribacillus stibiiarsenatis
GCF_001742425.1	Bacillus solimangrovi
GCF_001743535.1	Aggregatibacter phage S1249
GCF_001743555.1	Shigella phage SHFML-11
GCF_001743575.1	Gordonia phage Remus
GCF_001743595.1	Gordonia phage Hedwig
GCF_001743615.1	Gordonia phage CarolAnn
GCF_001743635.1	Erwinia phage vB_EamM_Phobos
GCF_001743655.1	Erwinia phage vB_EamM_ChrisDB
GCF_001743675.1	Bacillus phage Aurora
GCF_001743695.1	Pseudomonas phage vB_PaeM_MAG1
GCF_001743715.1	Streptococcus virus 9874
GCF_001743735.1	Bacillus phage SageFayge
GCF_001743755.1	Bacillus phage Nemo
GCF_001743775.1	Citrobacter phage SH2
GCF_001743795.1	Klebsiella phage PKO111
GCF_001743815.1	Propionibacterium phage Moyashi
GCF_001743835.1	Bacillus phage AR9
GCF_001743855.1	Rhodovulum phage vB_RhkS_P1
GCF_001743875.1	Lactococcus phage 28201
GCF_001743895.1	Acinetobacter phage vB_AbaS_TRS1
GCF_001743915.1	Bacillus phage Belinda
GCF_001743935.1	Escherichia phage UFV-AREG1
GCF_001743955.1	Pseudomonas phage phiMK
GCF_001743975.2	Pectobacterium phage PP16
GCF_001743995.1	Mycobacterium phage Makemake
GCF_001744015.1	Lactococcus phage M6165
GCF_001744035.1	Lactococcus phage D4410
GCF_001744055.1	Escherichia phage 64795_ec1
GCF_001744075.1	Sanxia Water Strider Virus 5
GCF_001744095.1	Huangpi Tick Virus 2
GCF_001744115.1	Volepox virus
GCF_001744135.1	Gordonia phage Twister6
GCF_001744155.1	Rosavirus B
GCF_001744175.1	Enterococcus phage SANTOR1
GCF_001744195.1	Enterobacter phage Tyrion
GCF_001744215.1	Salmonella phage SJ46
GCF_001744235.1	Escherichia phage vB_EcoM-UFV13
GCF_001744255.1	Gordonia phage Nyceirae
GCF_001744275.1	Gordonia phage Ghobes
GCF_001744295.1	Gordonia phage CaptainKirk2
GCF_001744315.1	Erwinia phage vB_EamM_Kwan
GCF_001744335.2	Erwinia phage vB_EamM_Asesino
GCF_001744355.1	Bacillus phage DirtyBetty
GCF_001744375.1	Pseudomonas phage vB_PaeP_MAG4
GCF_001744395.1	Streptococcus virus 9872
GCF_001744415.1	Bacillus phage Phrodo
GCF_001744435.1	Bacillus phage DIGNKC
GCF_001744455.1	Citrobacter phage SH1
GCF_001744475.1	Klebsiella phage PKP126
GCF_001744495.1	Propionibacterium phage Enoki
GCF_001744515.1	Mycobacterium phage Sneeze
GCF_001744535.1	Lactococcus phage 98201
GCF_001744555.1	Citrobacter phage vB_CfrM_CfP1
GCF_001744575.1	Morganella phage vB_MmoM_MP1
GCF_001744595.1	Escherichia phage vB_EcoS_NBD2
GCF_001744615.1	Bacillus phage SalinJah
GCF_001744635.1	Lactococcus phage PLgT-1
GCF_001744655.1	Pseudomonas phage Andromeda
GCF_001744675.1	Shigella phage SHSML-45
GCF_001744695.1	Lactococcus phage M6162
GCF_001744715.1	Pseudomonas phage NP1
GCF_001744735.1	Salmonella phage phSE-2
GCF_001744755.1	Sanxia water strider virus 4
GCF_001744775.1	Huangpi Tick Virus 1
GCF_001744795.1	Mycobacterium phage Gengar
GCF_001744815.1	Gordonia phage Terapin
GCF_001744835.1	Ligustrum virus A
GCF_001744855.1	Salmonella phage vB-SalM-PM10
GCF_001744875.1	Enterobacter phage Arya
GCF_001744895.1	Lactobacillus phage PLE3
GCF_001744915.1	Gordonia phage JSwag
GCF_001744935.1	Gordonia phage Cucurbita
GCF_001744955.1	Erwinia phage vB_EamM_Caitlin
GCF_001744975.1	Erwinia phage vB_EamM_EarlPhillipIV
GCF_001744995.1	Bacillus phage Claudi
GCF_001745015.1	Escherichia phage vB_EcoM_Alf5
GCF_001745035.1	Staphylococcus phage BP39
GCF_001745055.1	Bacillus phage Zuko
GCF_001745075.1	Bacillus phage Nigalana
GCF_001745095.1	Citrobacter phage SH3
GCF_001745115.1	Acinetobacter phage phiAB6
GCF_001745135.2	Propionibacterium phage QueenBey
GCF_001745155.1	Salmonella phage NR01
GCF_001745175.1	Mycobacterium phage Gardann
GCF_001745195.1	Lactococcus phage 50101
GCF_001745235.1	Klebsiella phage vB_KpnM_KpV477
GCF_001745255.1	Propionibacterium phage PFR1
GCF_001745275.1	Gordonia phage Nymphadora
GCF_001745295.1	Pectobacterium phage PP90
GCF_001745315.1	Mycobacterium phage Papez
GCF_001745335.1	Shigella phage SHBML-50-1
GCF_001745355.1	Lactococcus phage D4412
GCF_001745375.1	Pseudomonas phage PEV2
GCF_001745415.1	Huangpi Tick Virus 3
GCF_001745435.1	Cannabis cryptic virus
GCF_001745455.1	Gordonia phage Zirinka
GCF_001745475.1	Rosavirus C
GCF_001745495.1	Escherichia phage Envy
GCF_001745515.1	Pseudomonas phage MD8
GCF_001745535.1	Bacillus phage Deep Blue
GCF_001745555.1	Lactobacillus phage PLE2
GCF_001745575.1	Gordonia phage Jumbo
GCF_001745595.1	Gordonia phage Eyre
GCF_001745615.1	Gordonia phage Bantam
